moda;perfil;grupo;afp;val_uf_pension_net;val_uf_comision_mensual
1a;rp;Fnivel1;AFP HABITAT;6,13;0,06
1a;rp;Fnivel1;AFP MODELO;6,12;0,07
1a;rp;Fnivel1;AFP CAPITAL;6,11;0,08
1a;rp;Fnivel1;AFP PLANVITAL;6,11;0,08
1a;rp;Fnivel1;AFP CUPRUM;6,11;0,08
1a;rp;Fnivel1;AFP PROVIDA;6,11;0,08
1a;rp;Fnivel2;AFP HABITAT;6,51;0,06
1a;rp;Fnivel2;AFP CUPRUM;6,49;0,08
1a;rp;Fnivel2;AFP MODELO;6,49;0,08
1a;rp;Fnivel2;AFP PROVIDA;6,49;0,08
1a;rp;Fnivel2;AFP PLANVITAL;6,49;0,08
1a;rp;Fnivel2;AFP CAPITAL;6,49;0,08
1a;rp;Fnivel3;AFP HABITAT;8,5;0,08
1a;rp;Fnivel3;AFP MODELO;8,48;0,1
1a;rp;Fnivel3;AFP PLANVITAL;8,47;0,11
1a;rp;Fnivel3;AFP CUPRUM;8,47;0,11
1a;rp;Fnivel3;AFP PROVIDA;8,47;0,11
1a;rp;Fnivel3;AFP CAPITAL;8,47;0,11
1a;rp;Fnivel4;AFP HABITAT;16,21;0,15
1a;rp;Fnivel4;AFP MODELO;16,17;0,19
1a;rp;Fnivel4;AFP PLANVITAL;16,16;0,2
1a;rp;Fnivel4;AFP CUPRUM;16,16;0,2
1a;rp;Fnivel4;AFP PROVIDA;16,16;0,2
1a;rp;Fnivel4;AFP CAPITAL;16,16;0,2
1a;rp;Mnivel1;AFP HABITAT;6,52;0,06
1a;rp;Mnivel1;AFP PLANVITAL;6,5;0,08
1a;rp;Mnivel1;AFP PROVIDA;6,5;0,08
1a;rp;Mnivel1;AFP MODELO;6,5;0,08
1a;rp;Mnivel1;AFP CUPRUM;6,5;0,08
1a;rp;Mnivel1;AFP CAPITAL;6,5;0,08
1a;rp;Mnivel2;AFP HABITAT;8,18;0,08
1a;rp;Mnivel2;AFP CUPRUM;8,16;0,1
1a;rp;Mnivel2;AFP PROVIDA;8,16;0,1
1a;rp;Mnivel2;AFP CAPITAL;8,16;0,1
1a;rp;Mnivel2;AFP PLANVITAL;8,16;0,1
1a;rp;Mnivel2;AFP MODELO;8,16;0,1
1a;rp;Mnivel3;AFP HABITAT;12,51;0,12
1a;rp;Mnivel3;AFP MODELO;12,48;0,15
1a;rp;Mnivel3;AFP CAPITAL;12,47;0,16
1a;rp;Mnivel3;AFP PLANVITAL;12,47;0,16
1a;rp;Mnivel3;AFP CUPRUM;12,47;0,16
1a;rp;Mnivel3;AFP PROVIDA;12,47;0,16
1a;rp;Mnivel4;AFP HABITAT;28,35;0,27
1a;rp;Mnivel4;AFP MODELO;28,28;0,34
1a;rp;Mnivel4;AFP PROVIDA;28,26;0,36
1a;rp;Mnivel4;AFP CUPRUM;28,26;0,36
1a;rp;Mnivel4;AFP PLANVITAL;28,26;0,36
1a;rp;Mnivel4;AFP CAPITAL;28,26;0,36
1b;rp;Fnivel1;AFP HABITAT;6,39;0,06
1b;rp;Fnivel1;AFP MODELO;6,37;0,08
1b;rp;Fnivel1;AFP PROVIDA;6,37;0,08
1b;rp;Fnivel1;AFP PLANVITAL;6,37;0,08
1b;rp;Fnivel1;AFP CUPRUM;6,37;0,08
1b;rp;Fnivel1;AFP CAPITAL;6,37;0,08
1b;rp;Fnivel2;AFP HABITAT;6,88;0,07
1b;rp;Fnivel2;AFP MODELO;6,87;0,08
1b;rp;Fnivel2;AFP CAPITAL;6,86;0,09
1b;rp;Fnivel2;AFP CUPRUM;6,86;0,09
1b;rp;Fnivel2;AFP PROVIDA;6,86;0,09
1b;rp;Fnivel2;AFP PLANVITAL;6,86;0,09
1b;rp;Fnivel3;AFP HABITAT;8,72;0,08
1b;rp;Fnivel3;AFP MODELO;8,7;0,1
1b;rp;Fnivel3;AFP PROVIDA;8,69;0,11
1b;rp;Fnivel3;AFP PLANVITAL;8,69;0,11
1b;rp;Fnivel3;AFP CAPITAL;8,69;0,11
1b;rp;Fnivel3;AFP CUPRUM;8,69;0,11
1b;rp;Fnivel4;AFP HABITAT;14,58;0,14
1b;rp;Fnivel4;AFP MODELO;14,55;0,17
1b;rp;Fnivel4;AFP PROVIDA;14,54;0,18
1b;rp;Fnivel4;AFP CUPRUM;14,54;0,18
1b;rp;Fnivel4;AFP PLANVITAL;14,54;0,18
1b;rp;Fnivel4;AFP CAPITAL;14,54;0,18
1b;rp;Mnivel1;AFP HABITAT;7,48;0,07
1b;rp;Mnivel1;AFP MODELO;7,46;0,09
1b;rp;Mnivel1;AFP CAPITAL;7,46;0,09
1b;rp;Mnivel1;AFP CUPRUM;7,46;0,09
1b;rp;Mnivel1;AFP PROVIDA;7,46;0,09
1b;rp;Mnivel1;AFP PLANVITAL;7,46;0,09
1b;rp;Mnivel2;AFP HABITAT;8,52;0,08
1b;rp;Mnivel2;AFP MODELO;8,5;0,1
1b;rp;Mnivel2;AFP CUPRUM;8,49;0,11
1b;rp;Mnivel2;AFP CAPITAL;8,49;0,11
1b;rp;Mnivel2;AFP PLANVITAL;8,49;0,11
1b;rp;Mnivel2;AFP PROVIDA;8,49;0,11
1b;rp;Mnivel3;AFP HABITAT;10,37;0,1
1b;rp;Mnivel3;AFP MODELO;10,35;0,12
1b;rp;Mnivel3;AFP CUPRUM;10,34;0,13
1b;rp;Mnivel3;AFP PROVIDA;10,34;0,13
1b;rp;Mnivel3;AFP CAPITAL;10,34;0,13
1b;rp;Mnivel3;AFP PLANVITAL;10,34;0,13
1b;rp;Mnivel4;AFP HABITAT;26,99;0,26
1b;rp;Mnivel4;AFP MODELO;26,93;0,32
1b;rp;Mnivel4;AFP CUPRUM;26,91;0,34
1b;rp;Mnivel4;AFP PLANVITAL;26,91;0,34
1b;rp;Mnivel4;AFP CAPITAL;26,91;0,34
1b;rp;Mnivel4;AFP PROVIDA;26,91;0,34
2a;rp;Fnivel1;AFP HABITAT;6,57;0,06
2a;rp;Fnivel1;AFP CUPRUM;6,55;0,08
2a;rp;Fnivel1;AFP PLANVITAL;6,55;0,08
2a;rp;Fnivel1;AFP CAPITAL;6,55;0,08
2a;rp;Fnivel1;AFP PROVIDA;6,55;0,08
2a;rp;Fnivel1;AFP MODELO;6,55;0,08
2a;rp;Fnivel2;AFP HABITAT;6,9;0,07
2a;rp;Fnivel2;AFP MODELO;6,89;0,08
2a;rp;Fnivel2;AFP PROVIDA;6,88;0,09
2a;rp;Fnivel2;AFP CUPRUM;6,88;0,09
2a;rp;Fnivel2;AFP CAPITAL;6,88;0,09
2a;rp;Fnivel2;AFP PLANVITAL;6,88;0,09
2a;rp;Fnivel3;AFP HABITAT;9,26;0,09
2a;rp;Fnivel3;AFP MODELO;9,24;0,11
2a;rp;Fnivel3;AFP CUPRUM;9,23;0,12
2a;rp;Fnivel3;AFP PLANVITAL;9,23;0,12
2a;rp;Fnivel3;AFP PROVIDA;9,23;0,12
2a;rp;Fnivel3;AFP CAPITAL;9,23;0,12
2a;rp;Fnivel4;AFP HABITAT;13,92;0,13
2a;rp;Fnivel4;AFP MODELO;13,88;0,17
2a;rp;Fnivel4;AFP CUPRUM;13,88;0,17
2a;rp;Fnivel4;AFP PLANVITAL;13,88;0,17
2a;rp;Fnivel4;AFP PROVIDA;13,88;0,17
2a;rp;Fnivel4;AFP CAPITAL;13,88;0,17
2a;rp;Mnivel1;AFP HABITAT;7,2;0,07
2a;rp;Mnivel1;AFP PLANVITAL;7,18;0,09
2a;rp;Mnivel1;AFP CUPRUM;7,18;0,09
2a;rp;Mnivel1;AFP MODELO;7,18;0,09
2a;rp;Mnivel1;AFP CAPITAL;7,18;0,09
2a;rp;Mnivel1;AFP PROVIDA;7,18;0,09
2a;rp;Mnivel2;AFP HABITAT;7,88;0,07
2a;rp;Mnivel2;AFP MODELO;7,86;0,09
2a;rp;Mnivel2;AFP PROVIDA;7,85;0,1
2a;rp;Mnivel2;AFP CAPITAL;7,85;0,1
2a;rp;Mnivel2;AFP CUPRUM;7,85;0,1
2a;rp;Mnivel2;AFP PLANVITAL;7,85;0,1
2a;rp;Mnivel3;AFP HABITAT;12,97;0,12
2a;rp;Mnivel3;AFP PLANVITAL;12,93;0,16
2a;rp;Mnivel3;AFP PROVIDA;12,93;0,16
2a;rp;Mnivel3;AFP MODELO;12,93;0,16
2a;rp;Mnivel3;AFP CAPITAL;12,93;0,16
2a;rp;Mnivel3;AFP CUPRUM;12,93;0,16
2a;rp;Mnivel4;AFP HABITAT;25,92;0,25
2a;rp;Mnivel4;AFP MODELO;25,86;0,31
2a;rp;Mnivel4;AFP PROVIDA;25,84;0,33
2a;rp;Mnivel4;AFP CUPRUM;25,84;0,33
2a;rp;Mnivel4;AFP CAPITAL;25,84;0,33
2a;rp;Mnivel4;AFP PLANVITAL;25,84;0,33
2b;rp;Fnivel1;AFP HABITAT;6,55;0,06
2b;rp;Fnivel1;AFP PLANVITAL;6,53;0,08
2b;rp;Fnivel1;AFP MODELO;6,53;0,08
2b;rp;Fnivel1;AFP CUPRUM;6,53;0,08
2b;rp;Fnivel1;AFP CAPITAL;6,53;0,08
2b;rp;Fnivel1;AFP PROVIDA;6,53;0,08
2b;rp;Fnivel2;AFP HABITAT;7,28;0,07
2b;rp;Fnivel2;AFP MODELO;7,26;0,09
2b;rp;Fnivel2;AFP CUPRUM;7,26;0,09
2b;rp;Fnivel2;AFP PROVIDA;7,26;0,09
2b;rp;Fnivel2;AFP PLANVITAL;7,26;0,09
2b;rp;Fnivel2;AFP CAPITAL;7,26;0,09
2b;rp;Fnivel3;AFP HABITAT;9,2;0,09
2b;rp;Fnivel3;AFP PROVIDA;9,18;0,11
2b;rp;Fnivel3;AFP CAPITAL;9,18;0,11
2b;rp;Fnivel3;AFP CUPRUM;9,18;0,11
2b;rp;Fnivel3;AFP MODELO;9,18;0,11
2b;rp;Fnivel3;AFP PLANVITAL;9,18;0,11
2b;rp;Fnivel4;AFP HABITAT;14,46;0,14
2b;rp;Fnivel4;AFP MODELO;14,43;0,17
2b;rp;Fnivel4;AFP CUPRUM;14,42;0,18
2b;rp;Fnivel4;AFP PLANVITAL;14,42;0,18
2b;rp;Fnivel4;AFP PROVIDA;14,42;0,18
2b;rp;Fnivel4;AFP CAPITAL;14,42;0,18
2b;rp;Mnivel1;AFP HABITAT;6,57;0,06
2b;rp;Mnivel1;AFP PROVIDA;6,55;0,08
2b;rp;Mnivel1;AFP CUPRUM;6,55;0,08
2b;rp;Mnivel1;AFP MODELO;6,55;0,08
2b;rp;Mnivel1;AFP CAPITAL;6,55;0,08
2b;rp;Mnivel1;AFP PLANVITAL;6,55;0,08
2b;rp;Mnivel2;AFP HABITAT;7,87;0,07
2b;rp;Mnivel2;AFP MODELO;7,85;0,09
2b;rp;Mnivel2;AFP CUPRUM;7,84;0,1
2b;rp;Mnivel2;AFP PLANVITAL;7,84;0,1
2b;rp;Mnivel2;AFP CAPITAL;7,84;0,1
2b;rp;Mnivel2;AFP PROVIDA;7,84;0,1
2b;rp;Mnivel3;AFP HABITAT;10,45;0,1
2b;rp;Mnivel3;AFP PROVIDA;10,42;0,13
2b;rp;Mnivel3;AFP CUPRUM;10,42;0,13
2b;rp;Mnivel3;AFP MODELO;10,42;0,13
2b;rp;Mnivel3;AFP PLANVITAL;10,42;0,13
2b;rp;Mnivel3;AFP CAPITAL;10,42;0,13
2b;rp;Mnivel4;AFP HABITAT;23,68;0,23
2b;rp;Mnivel4;AFP MODELO;23,63;0,28
2b;rp;Mnivel4;AFP CAPITAL;23,61;0,3
2b;rp;Mnivel4;AFP CUPRUM;23,61;0,3
2b;rp;Mnivel4;AFP PLANVITAL;23,61;0,3
2b;rp;Mnivel4;AFP PROVIDA;23,61;0,3
3a;rp;Fnivel1;AFP HABITAT;7,88;0,07
3a;rp;Fnivel1;AFP MODELO;7,86;0,09
3a;rp;Fnivel1;AFP CAPITAL;7,85;0,1
3a;rp;Fnivel1;AFP CUPRUM;7,85;0,1
3a;rp;Fnivel1;AFP PLANVITAL;7,85;0,1
3a;rp;Fnivel1;AFP PROVIDA;7,85;0,1
3a;rp;Fnivel2;AFP HABITAT;8;0,08
3a;rp;Fnivel2;AFP PROVIDA;7,98;0,1
3a;rp;Fnivel2;AFP PLANVITAL;7,98;0,1
3a;rp;Fnivel2;AFP CUPRUM;7,98;0,1
3a;rp;Fnivel2;AFP MODELO;7,98;0,1
3a;rp;Fnivel2;AFP CAPITAL;7,98;0,1
3a;rp;Fnivel3;AFP HABITAT;10,95;0,1
3a;rp;Fnivel3;AFP MODELO;10,92;0,13
3a;rp;Fnivel3;AFP PLANVITAL;10,91;0,14
3a;rp;Fnivel3;AFP CUPRUM;10,91;0,14
3a;rp;Fnivel3;AFP CAPITAL;10,91;0,14
3a;rp;Fnivel3;AFP PROVIDA;10,91;0,14
3a;rp;Fnivel4;AFP HABITAT;16,54;0,16
3a;rp;Fnivel4;AFP MODELO;16,5;0,2
3a;rp;Fnivel4;AFP PROVIDA;16,49;0,21
3a;rp;Fnivel4;AFP PLANVITAL;16,49;0,21
3a;rp;Fnivel4;AFP CUPRUM;16,49;0,21
3a;rp;Fnivel4;AFP CAPITAL;16,49;0,21
3a;rp;Mnivel1;AFP HABITAT;7,71;0,07
3a;rp;Mnivel1;AFP MODELO;7,69;0,09
3a;rp;Mnivel1;AFP CUPRUM;7,68;0,1
3a;rp;Mnivel1;AFP CAPITAL;7,68;0,1
3a;rp;Mnivel1;AFP PROVIDA;7,68;0,1
3a;rp;Mnivel1;AFP PLANVITAL;7,68;0,1
3a;rp;Mnivel2;AFP HABITAT;9,21;0,09
3a;rp;Mnivel2;AFP MODELO;9,19;0,11
3a;rp;Mnivel2;AFP CUPRUM;9,19;0,11
3a;rp;Mnivel2;AFP CAPITAL;9,19;0,11
3a;rp;Mnivel2;AFP PROVIDA;9,19;0,11
3a;rp;Mnivel2;AFP PLANVITAL;9,19;0,11
3a;rp;Mnivel3;AFP HABITAT;14,92;0,14
3a;rp;Mnivel3;AFP MODELO;14,88;0,18
3a;rp;Mnivel3;AFP PROVIDA;14,87;0,19
3a;rp;Mnivel3;AFP CUPRUM;14,87;0,19
3a;rp;Mnivel3;AFP PLANVITAL;14,87;0,19
3a;rp;Mnivel3;AFP CAPITAL;14,87;0,19
3a;rp;Mnivel4;AFP HABITAT;29,46;0,28
3a;rp;Mnivel4;AFP MODELO;29,38;0,35
3a;rp;Mnivel4;AFP PLANVITAL;29,36;0,37
3a;rp;Mnivel4;AFP PROVIDA;29,36;0,37
3a;rp;Mnivel4;AFP CUPRUM;29,36;0,37
3a;rp;Mnivel4;AFP CAPITAL;29,36;0,37
3b;rp;Fnivel1;AFP HABITAT;9,29;0,09
3b;rp;Fnivel1;AFP MODELO;9,27;0,11
3b;rp;Fnivel1;AFP CAPITAL;9,26;0,12
3b;rp;Fnivel1;AFP PROVIDA;9,26;0,12
3b;rp;Fnivel1;AFP CUPRUM;9,26;0,12
3b;rp;Fnivel1;AFP PLANVITAL;9,26;0,12
3b;rp;Fnivel2;AFP HABITAT;8,38;0,08
3b;rp;Fnivel2;AFP MODELO;8,36;0,1
3b;rp;Fnivel2;AFP PLANVITAL;8,36;0,1
3b;rp;Fnivel2;AFP PROVIDA;8,36;0,1
3b;rp;Fnivel2;AFP CAPITAL;8,36;0,1
3b;rp;Fnivel2;AFP CUPRUM;8,36;0,1
3b;rp;Fnivel3;AFP HABITAT;9,42;0,09
3b;rp;Fnivel3;AFP MODELO;9,4;0,11
3b;rp;Fnivel3;AFP PLANVITAL;9,39;0,12
3b;rp;Fnivel3;AFP CAPITAL;9,39;0,12
3b;rp;Fnivel3;AFP CUPRUM;9,39;0,12
3b;rp;Fnivel3;AFP PROVIDA;9,39;0,12
3b;rp;Fnivel4;AFP HABITAT;15,27;0,15
3b;rp;Fnivel4;AFP MODELO;15,24;0,18
3b;rp;Fnivel4;AFP CAPITAL;15,23;0,19
3b;rp;Fnivel4;AFP PLANVITAL;15,23;0,19
3b;rp;Fnivel4;AFP CUPRUM;15,23;0,19
3b;rp;Fnivel4;AFP PROVIDA;15,23;0,19
3b;rp;Mnivel1;AFP HABITAT;8,12;0,08
3b;rp;Mnivel1;AFP PLANVITAL;8,1;0,1
3b;rp;Mnivel1;AFP PROVIDA;8,1;0,1
3b;rp;Mnivel1;AFP MODELO;8,1;0,1
3b;rp;Mnivel1;AFP CAPITAL;8,1;0,1
3b;rp;Mnivel1;AFP CUPRUM;8,1;0,1
3b;rp;Mnivel2;AFP HABITAT;10,44;0,1
3b;rp;Mnivel2;AFP CUPRUM;10,41;0,13
3b;rp;Mnivel2;AFP CAPITAL;10,41;0,13
3b;rp;Mnivel2;AFP MODELO;10,41;0,13
3b;rp;Mnivel2;AFP PLANVITAL;10,41;0,13
3b;rp;Mnivel2;AFP PROVIDA;10,41;0,13
3b;rp;Mnivel3;AFP HABITAT;14,83;0,14
3b;rp;Mnivel3;AFP MODELO;14,79;0,18
3b;rp;Mnivel3;AFP CUPRUM;14,78;0,19
3b;rp;Mnivel3;AFP PROVIDA;14,78;0,19
3b;rp;Mnivel3;AFP CAPITAL;14,78;0,19
3b;rp;Mnivel3;AFP PLANVITAL;14,78;0,19
3b;rp;Mnivel4;AFP HABITAT;27,53;0,26
3b;rp;Mnivel4;AFP MODELO;27,46;0,33
3b;rp;Mnivel4;AFP PLANVITAL;27,44;0,35
3b;rp;Mnivel4;AFP PROVIDA;27,44;0,35
3b;rp;Mnivel4;AFP CAPITAL;27,44;0,35
3b;rp;Mnivel4;AFP CUPRUM;27,44;0,35
